Division,Country,Plant,Source,Packaging,Format,Brand,Product,Test Type,Test,Prod Date,Test Method,Min Spec,Max Spec,Result,Unit Of Measure,Acceptable,Lab Id,Coa Number
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Phosphorus,24-Jul-14,EPA 3050/6020 USP730,-,0.01,<0.01,µg/l,Yes,347194470,37238361-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Silver,21-Jul-14,EPA 3050/6020 USP730,-,0.2,0.2,µg/l,Yes,347244101,37231059-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Silver,20-Aug-14,EPA 3050/6020 USP730,-,0.2,0.5,µg/l,Yes,347765612,37307812-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Silver,24-Jul-14,EPA 3050/6020 USP730,-,0.2,0.05,µg/l,Yes,347194387,37238361-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Silver,25-Jul-14,EPA 3050/6020 USP730,-,0.2,0.1,µg/l,Yes,347294945,37242323-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Strontium,25-Jul-14,EPA 3050/6020 USP730,-,0.35,0.34,pCi/L,Yes,347294868,37242323-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Strontium,24-Jul-14,EPA 3050/6020 USP730,-,0.35,0.19,pCi/L,Yes,347194429,37238361-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Strontium,11-Aug-14,EPA 3050/6020 USP730,-,0.35,0.12,pCi/L,Yes,347356284,37284554-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Strontium,14-Aug-14,EPA 3050/6020 USP730,-,0.35,0.32,pCi/L,Yes,347571986,37291493-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Strontium,20-Aug-14,EPA 3050/6020 USP730,-,0.35,0.33,pCi/L,Yes,347765612,37307812-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Thallium,25-Jul-14,EPA 3050/6020 USP730,-,0.1,0.1,µg/l,Yes,347294945,37242323-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Thallium,14-Aug-14,EPA 3050/6020 USP730,-,0.1,0.1,µg/l,Yes,347571986,37291493-0
Danone Waters,China                                                                           ,"Danone Waters- Beijing, China",Well                                                                            ,PC                                                                              ,18.9 L                                                                          ,Robust                                                                          ,Danone Water  ,Inorganic parameters - Traces elements,Thallium,24-Jul-14,EPA 3050/6020 USP730,-,0.1,0.1,µg/l,Yes,347194429,37238361-0
